Compound_Id|Batch_No|Well_Id|Conc_uM|Rel_Cell_Count|Induction|Cluster_AKT_PI3K_MTOR|Cluster_Aurora|Cluster_BET|Cluster_DNA_Synthesis|Cluster_HDAC|Cluster_HSP90|Cluster_L/CH|Cluster_Protein_Synthesis|Cluster_Tubulin|Cluster_Uncoupling|Cluster_High|Cluster_Sim|Trivial_Name|Chiral|Smiles
101008|1|101008:01:23_10.00|10|79|5.4|0|6.2|26.4|4.3|21.6|31.2|38.8|0|59.9|5.6|Tubulin|59.9|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
101008|1|101008:01:22_30.00|30|75|54.2|0|0|72.1|0|71.6|52|63.7|50.3|91.9|57.5|Tubulin|91.9|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
101008|1|101008:01:24_30.00|30|76|71|0|0|77.3|0|76.7|47.8|62.4|59|88.9|52.8|Tubulin|88.9|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
101008|1|101008:01:22_50.00|50|72|59.6|0|0|77.6|0|76|48|68|50.9|92.4|61.5|Tubulin|92.4|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
101008|1|101008:01:24_50.00|50|75|58.7|0|0|76.7|0|75.1|45.8|61.9|55.7|86.2|53.3|Tubulin|86.2|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
101009|1|101009:01:16_30.00|30|96|13.3|14.1|0|20|0|18.8|58.3|29.7|1|31.6|18.9|HSP90|58.3|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC
101009|1|101009:01:19_30.00|30|89|30.9|0|0|48.3|0|47|57.4|49.3|41.1|58.9|34.5|Tubulin|58.9|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC
101009|1|101009:01:16_50.00|50|85|17.1|17.8|0|24.8|0|23|64.7|30.9|21.5|42|34.6|HSP90|64.7|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC
101009|1|101009:01:19_50.00|50|91|32.8|0|0|56.1|0|51.6|55.3|54.8|49.3|66.4|41|Tubulin|66.4|Centrocountin 1|True|COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@]12C(=O)OC
104614|2|104614:02:16_03.00|3|88|12.8|0|0|48.6|0|53.6|28|37.6|61.1|81.8|32.5|Tubulin|81.8|Tubulexin A|False|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
104614|2|104614:02:17_10.00|10|64|33.2|0|0|67|0|67.1|50.6|49|61.7|89.1|48.9|Tubulin|89.1|Tubulexin A|False|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
104614|2|104614:02:17_30.00|30|66|63.7|0|2.1|74.3|0|81.3|55.3|69|57|91.6|52.6|Tubulin|91.6|Tubulexin A|False|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
104614|2|104614:02:17_50.00|50|60|68.9|0|0|77.4|0|81.3|53|73.9|58.7|92.4|53.2|Tubulin|92.4|Tubulexin A|False|COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
